latitude,longitude,Trap_locat,Samples_Co,Diuraphis,Schizaphis,Rhopalosip,Sitobion_a,Metopoloph,Rhopalos_1,Metopolo_1,Sipha_Eleg,Aphis_Midd,Rhopalos_2,Rhopalos_3,Tetraneura,Others,F18,F19,F20,F21
46.588082,-116.947275,Kambitsch,6/21/2012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
46.588082,-116.947275,Kambitsch,6/27/2012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,,,,
46.588082,-116.947275,Kambitsch,7/10/2012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,,,,
46.588082,-116.947275,Kambitsch,7/26/2012,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
46.588082,-116.947275,Kambitsch,8/2/2012,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
46.588082,-116.947275,Kambitsch,8/15/2012,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,,,,
46.588082,-116.947275,Kambitsch,8/19/2012,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,3.000000,,,,
46.588082,-116.947275,Kambitsch,8/27/2012,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,,,,
46.588082,-116.947275,Kambitsch,9/7/2012,0.000000,0.000000,3.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,,,,
46.588082,-116.947275,Kambitsch,9/14/2012,0.000000,0.000000,3.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
46.588082,-116.947275,Kambitsch,9/14/2012,0.000000,0.000000,1.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
46.588082,-116.947275,Kambitsch,9/21/2012,1.000000,0.000000,5.000000,0.000000,5.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,111.000000,,,,
46.588082,-116.947275,Kambitsch,9/28/2012,0.000000,0.000000,8.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77.000000,,,,
46.588082,-116.947275,Kambitsch,10/5/2012,0.000000,0.000000,7.000000,1.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.000000,,,,
46.588082,-116.947275,Kambitsch,10/12/2012,0.000000,0.000000,9.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.000000,,,,
46.588082,-116.947275,Kambitsch,10/19/2012,0.000000,0.000000,7.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.000000,,,,
46.588082,-116.947275,Kambitsch,10/31/2012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,,,,
47.001225,-118.565184,Lind,7/3/2012,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,,,,
47.001225,-118.565184,Lind,7/9/2012,0.000000,0.000000,2.000000,0.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.000000,,,,
47.001225,-118.565184,Lind,7/16/2012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,,,,
47.001225,-118.565184,Lind,7/23/2012,0.000000,0.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,,,,
47.001225,-118.565184,Lind,7/30/2012,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
47.001225,-118.565184,Lind,8/6/2012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
47.001225,-118.565184,Lind,8/20/2012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,,,
47.001225,-118.565184,Lind,8/27/2012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,3.000000,,,,
