latitude,longitude,Trap_locat,Samples_Co,Russian_Wh,Green_bug,Bird_Cherr,English_Gr,Ross_Grass,Corn_Leaf,Festucae_C,Sipha_Eleg,Aphis_Midd,Rhopalosip,Others,F16,F17,F18,F19
46.588082,-116.947275,Kambitsch,9/22/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,15.000000,,,,
46.588082,-116.947275,Kambitsch,9/30/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.000000,,,,
46.588082,-116.947275,Kambitsch,10/7/2011,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,,,,
46.588082,-116.947275,Kambitsch,10/13/2011,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,,,,
46.588082,-116.947275,Kambitsch,10/20/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,250.000000,,,,
46.588082,-116.947275,Kambitsch,10/20/2011,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,375.000000,,,,
46.588082,-116.947275,Kambitsch,10/27/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,137.000000,,,,
46.588082,-116.947275,Kambitsch,11/3/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,,,,
47.001225,-118.565184,Lind,5/25/2011,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
47.001225,-118.565184,Lind,6/5/2011,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,81.000000,,,,
47.001225,-118.565184,Lind,6/20/2011,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,,,,
47.001225,-118.565184,Lind,6/27/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,,,,
47.001225,-118.565184,Lind,7/5/2011,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,35.000000,,,,
47.001225,-118.565184,Lind,7/20/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,,,,
47.001225,-118.565184,Lind,8/30/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,,,,
47.001225,-118.565184,Lind,9/20/2011,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
47.001225,-118.565184,Lind,9/28/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,,,,
47.001225,-118.565184,Lind,10/6/2011,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,,,,
47.001225,-118.565184,Lind,10/13/2011,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,,,,
47.001225,-118.565184,Lind,10/20/2011,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,,,,
47.001225,-118.565184,Lind,10/27/2011,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,,,,
47.001225,-118.565184,Lind,11/3/2011,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,,,,
47.001225,-118.565184,Lind,11/10/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,,,,
45.484367,-120.718733,Moro,5/9/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,,,,
45.484367,-120.718733,Moro,8/8/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
45.484367,-120.718733,Moro,9/14/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,,,,
45.484367,-120.718733,Moro,9/21/2011,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,"45.484367, -120.718733",,,
45.484367,-120.718733,Moro,9/27/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,5.000000,,,,
45.484367,-120.718733,Moro,10/5/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,9.000000,,,,
45.484367,-120.718733,Moro,10/10/2011,0.000000,0.000000,19.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.000000,,,,
45.484367,-120.718733,Moro,10/12/2011,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,,,,
45.484367,-120.718733,Moro,10/19/2011,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,,,,
45.484367,-120.718733,Moro,10/28/2011,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
46.759878,-117.195286,Palouse Conservation Farm,9/27/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,,,,
46.759878,-117.195286,Palouse Conservation Farm,10/4/2011,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,,,,
46.759878,-117.195286,Palouse Conservation Farm,10/11/2011,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,,,,
46.759878,-117.195286,Palouse Conservation Farm,10/18/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,,,,
46.759878,-117.195286,Palouse Conservation Farm,11/1/2011,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,,,,
46.759878,-117.195286,Palouse Conservation Farm,11/8/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
45.720167,-118.626150,Pendleton Station,5/9/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,
45.720167,-118.626150,Pendleton Station,6/13/2011,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,,,,
45.720167,-118.626150,Pendleton Station,7/11/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,,,,
45.720167,-118.626150,Pendleton Station,7/24/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,,,,
45.720167,-118.626150,Pendleton Station,8/8/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
45.720167,-118.626150,Pendleton Station,9/12/2011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129.000000,,,,
